Participant,ius_1,ius_2,ius_3,ius_4,ius_5,ius_6,ius_7,ius_8,ius_9,ius_10,ius_11,ius_12,ius_13,ius_14,ius_15,ius_16,ius_17,ius_18,ius_19,ius_20,ius_21,ius_22,ius_23,ius_24,ius_25,ius_26,ius_27,sticsa_1,sticsa_2,sticsa_3,sticsa_4,sticsa_5,sticsa_6,sticsa_7,sticsa_8,sticsa_9,sticsa_10,sticsa_11,sticsa_12,sticsa_13,sticsa_14,sticsa_15,sticsa_16,sticsa_17,sticsa_18,sticsa_19,sticsa_20,sticsa_21
11,2.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,2.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,3.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00
12,4.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,2.00,3.00,1.00,2.00,1.00,1.00,1.00,3.00,2.00,1.00,2.00,1.00,1.00,2.00,1.00,3.00,1.00,2.00,1.00,2.00
13,2.00,1.00,2.00,4.00,2.00,3.00,1.00,3.00,4.00,2.00,2.00,3.00,2.00,1.00,2.00,1.00,2.00,3.00,4.00,2.00,3.00,2.00,4.00,3.00,2.00,2.00,3.00,1.00,4.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00,1.00,2.00,3.00,2.00,3.00,2.00,2.00,1.00
14,2.00,2.00,1.00,3.00,3.00,3.00,4.00,4.00,2.00,4.00,2.00,2.00,3.00,2.00,3.00,2.00,3.00,4.00,4.00,2.00,3.00,4.00,2.00,4.00,4.00,3.00,4.00,2.00,3.00,3.00,4.00,2.00,1.00,2.00,1.00,1.00,3.00,3.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,3.00,2.00,2.00
15,2.00,1.00,1.00,2.00,2.00,4.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,3.00,4.00,2.00,3.00,4.00,4.00,2.00,4.00,2.00,2.00,4.00,3.00,4.00,3.00,2.00,2.00,2.00,3.00,3.00,2.00,3.00,2.00,3.00,3.00,4.00,3.00,3.00,2.00,4.00,3.00,4.00,1.00,2.00,2.00,2.00
16,1.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00
17,1.00,4.00,4.00,2.00,3.00,4.00,4.00,4.00,2.00,5.00,4.00,2.00,4.00,4.00,5.00,1.00,3.00,2.00,2.00,2.00,5.00,4.00,1.00,3.00,2.00,2.00,4.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,3.00,2.00,1.00,2.00,1.00,1.00,1.00,3.00,1.00,2.00,1.00,1.00
18,3.00,1.00,2.00,1.00,3.00,3.00,5.00,3.00,1.00,2.00,1.00,2.00,1.00,1.00,2.00,1.00,2.00,2.00,1.00,2.00,3.00,1.00,1.00,3.00,1.00,2.00,3.00,3.00,3.00,2.00,2.00,1.00,1.00,4.00,3.00,2.00,4.00,2.00,3.00,2.00,2.00,2.00,4.00,2.00,1.00,2.00,1.00,1.00
19,1.00,1.00,1.00,2.00,2.00,2.00,1.00,3.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,3.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,3.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00
20,4.00,4.00,5.00,1.00,3.00,3.00,3.00,3.00,3.00,2.00,4.00,3.00,1.00,3.00,3.00,4.00,4.00,2.00,1.00,4.00,2.00,4.00,1.00,3.00,3.00,3.00,4.00,3.00,3.00,4.00,3.00,4.00,1.00,1.00,2.00,3.00,4.00,4.00,1.00,3.00,1.00,1.00,3.00,4.00,2.00,4.00,1.00,1.00
21,2.00,4.00,2.00,4.00,3.00,3.00,4.00,5.00,2.00,3.00,3.00,2.00,2.00,2.00,3.00,3.00,2.00,3.00,2.00,1.00,4.00,2.00,2.00,5.00,4.00,4.00,4.00,2.00,2.00,4.00,4.00,3.00,2.00,3.00,2.00,4.00,4.00,1.00,1.00,3.00,1.00,3.00,3.00,4.00,1.00,4.00,2.00,1.00
22,2.00,2.00,1.00,1.00,4.00,3.00,3.00,2.00,3.00,3.00,2.00,4.00,2.00,3.00,3.00,4.00,3.00,2.00,3.00,4.00,4.00,4.00,2.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,3.00,1.00,1.00,2.00,3.00,2.00,4.00,3.00,3.00,2.00,3.00,1.00,2.00,4.00,2.00,3.00,3.00,2.00
23,5.00,1.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,3.00,5.00,5.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,2.00,5.00,5.00,5.00,5.00,4.00,3.00,4.00,4.00,2.00,2.00,4.00,3.00,4.00,4.00,3.00,3.00,4.00,3.00,3.00,1.00,4.00,3.00,4.00,3.00,3.00
24,2.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,3.00,1.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,5.00,3.00,1.00,5.00,2.00,3.00,2.00,3.00,2.00,3.00,4.00,3.00,1.00,2.00,3.00,4.00,3.00,2.00,1.00,3.00,1.00,2.00,1.00,3.00,2.00,3.00,2.00,3.00
25,3.00,2.00,4.00,2.00,5.00,4.00,2.00,2.00,2.00,3.00,2.00,3.00,2.00,2.00,4.00,2.00,2.00,4.00,3.00,2.00,1.00,3.00,2.00,3.00,3.00,4.00,3.00,3.00,2.00,3.00,3.00,2.00,3.00,2.00,3.00,2.00,3.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,3.00,1.00,2.00
26,2.00,1.00,1.00,2.00,3.00,3.00,2.00,3.00,2.00,1.00,2.00,2.00,1.00,2.00,3.00,1.00,2.00,1.00,3.00,2.00,2.00,4.00,2.00,4.00,1.00,3.00,2.00,2.00,2.00,3.00,2.00,1.00,3.00,2.00,2.00,2.00,4.00,4.00,2.00,2.00,2.00,2.00,4.00,3.00,4.00,4.00,3.00,2.00
27,2.00,2.00,3.00,2.00,1.00,3.00,4.00,4.00,2.00,3.00,2.00,2.00,2.00,3.00,4.00,2.00,3.00,4.00,5.00,3.00,3.00,2.00,2.00,4.00,4.00,3.00,4.00,3.00,4.00,1.00,2.00,2.00,2.00,3.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,3.00,1.00,2.00,1.00,1.00,1.00,2.00
28,2.00,3.00,1.00,3.00,2.00,5.00,3.00,5.00,3.00,3.00,3.00,2.00,2.00,3.00,3.00,1.00,2.00,3.00,1.00,3.00,5.00,2.00,1.00,4.00,4.00,2.00,4.00,2.00,1.00,2.00,2.00,3.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,4.00,3.00,1.00
29,2.00,1.00,1.00,4.00,1.00,3.00,2.00,3.00,1.00,2.00,2.00,1.00,1.00,3.00,1.00,1.00,1.00,4.00,2.00,1.00,5.00,1.00,1.00,3.00,1.00,3.00,5.00,2.00,3.00,2.00,1.00,1.00,3.00,2.00,2.00,1.00,3.00,2.00,3.00,1.00,1.00,1.00,4.00,3.00,2.00,2.00,1.00,1.00
30,4.00,3.00,3.00,3.00,4.00,4.00,2.00,4.00,4.00,3.00,3.00,2.00,3.00,3.00,4.00,4.00,3.00,3.00,2.00,2.00,3.00,4.00,3.00,3.00,2.00,4.00,4.00,3.00,3.00,3.00,3.00,2.00,2.00,1.00,1.00,2.00,3.00,2.00,1.00,3.00,2.00,3.00,2.00,3.00,2.00,4.00,2.00,1.00
31,3.00,2.00,2.00,3.00,2.00,3.00,2.00,3.00,2.00,3.00,2.00,1.00,2.00,2.00,2.00,3.00,2.00,3.00,2.00,1.00,2.00,2.00,1.00,2.00,1.00,3.00,3.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00,2.00,3.00,3.00,1.00,2.00,2.00,1.00,2.00,3.00,2.00,1.00,2.00,1.00,3.00
32,2.00,3.00,4.00,2.00,2.00,3.00,4.00,4.00,2.00,4.00,4.00,1.00,4.00,3.00,4.00,2.00,2.00,5.00,4.00,2.00,5.00,4.00,2.00,2.00,2.00,3.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,2.00,1.00
33,4.00,2.00,3.00,2.00,2.00,4.00,3.00,3.00,4.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,5.00,3.00,2.00,3.00,2.00,4.00,2.00,3.00,3.00,3.00,3.00,2.00,2.00,3.00,3.00,2.00,3.00,2.00,4.00,3.00,2.00,4.00,3.00,3.00,1.00,2.00,2.00,3.00,3.00,2.00,2.00
34,3.00,1.00,1.00,1.00,3.00,4.00,3.00,5.00,4.00,5.00,5.00,2.00,4.00,3.00,4.00,5.00,3.00,3.00,3.00,3.00,4.00,5.00,1.00,4.00,4.00,3.00,2.00,3.00,2.00,4.00,4.00,4.00,2.00,1.00,2.00,4.00,4.00,1.00,2.00,4.00,1.00,2.00,3.00,3.00,3.00,4.00,2.00,2.00
35,3.00,1.00,2.00,3.00,1.00,2.00,1.00,3.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,4.00,2.00,2.00,2.00,1.00,3.00,3.00,2.00,2.00,1.00,3.00,2.00,3.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,3.00,1.00,2.00,1.00,1.00,1.00,3.00,2.00,1.00,2.00,1.00,2.00
36,1.00,1.00,2.00,1.00,2.00,2.00,1.00,2.00,1.00,4.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,3.00,2.00,2.00,3.00,1.00,2.00,4.00,2.00,2.00,2.00,4.00,4.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,1.00,1.00,2.00,2.00
37,3.00,2.00,1.00,4.00,4.00,3.00,4.00,2.00,2.00,3.00,4.00,2.00,2.00,2.00,2.00,3.00,3.00,5.00,3.00,2.00,2.00,1.00,2.00,4.00,2.00,3.00,4.00,3.00,2.00,4.00,3.00,2.00,1.00,1.00,1.00,3.00,3.00,2.00,1.00,2.00,1.00,1.00,3.00,4.00,2.00,2.00,1.00,1.00
38,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,3.00,3.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00
39,4.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,2.00,3.00,3.00,1.00,3.00,2.00,2.00,4.00,2.00,1.00,1.00,1.00,4.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,2.00,3.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00,3.00,1.00,2.00,1.00,3.00
40,3.00,2.00,3.00,1.00,2.00,4.00,3.00,4.00,1.00,2.00,1.00,2.00,1.00,1.00,2.00,3.00,2.00,5.00,2.00,1.00,5.00,1.00,3.00,3.00,2.00,1.00,2.00,3.00,3.00,2.00,2.00,1.00,1.00,1.00,2.00,3.00,4.00,2.00,3.00,3.00,1.00,1.00,4.00,2.00,3.00,3.00,1.00,2.00
