Participant Number,age,sex,ethnicity,nationality,english_language_fluency,sexual_orientation
133,26,Male,Asian,Japanese,Fluent,Gay
134,20,Male,Indian,Portugese,Fluent,Heterosexual
135,19,Male,British Pakistani,British,First language,Heterosexual
136,23,Female,White,British,Native,Straight
137,24,Female,White,British,Yes,Straight
138,24,Male,White,British,Fluent,Straight
139,21,Male,White,British,Fluent,Heterosexual
140,19,Female,White,British,Native,Pansexual
141,19,Male,Caucasian,English,Fluent,Heterosexual
142,21,Male,White,British,Yes,Heterosexual
143,20,Female,Black African,British,Fluent,Straight
144,23,Female,White,Polish,C1,Straight
